enhancer_id	size	covered	sum	mean0	mean	dataset_label	genome_build_quant	quant_file	factor	source_db	series_accession	sample_accession	run_accession	assay_type	tissue	limb_type	dev_stage	genotype	replicate	control_accession	genome_build	file_type	download_url	preferred_use	reason_if_not_score	notes	rank_desc_mean0	percentile_rank
mm2176	5457	700	1934.0	0.354407	2.76286	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	2.0	0.9166666666666666
mm1859	5188	200	119.0	0.0229375	0.595	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	6.0	0.5833333333333334
mm2164	5620	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
mm1887	5267	1300	321.0	0.0609455	0.246923	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	4.0	0.75
mm1179	1516	428	30.4	0.0200528	0.071028	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	7.0	0.5
mm1889	5399	500	1100.0	0.203741	2.2	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	3.0	0.8333333333333334
CNE14_hs1586_mm1977	1119	100	2350.0	2.10009	23.5	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	1.0	1.0
mm2018	5256	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
CNE18	700	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
CNE19	613	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
CNE21	690	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
CNE13	425	0	0.0	0.0	0.0	GSM1447340_HAND2_LIMB_3xF_reproc	mm9	GSM1447340_HAND2_LIMB_3xF_reproc.mm9.bigWigAverageOverBed.tsv	HAND2	GEO	GSE55707	GSM1447340		ChIP-seq	embryonic limb bud	limb_unspecified	E10.5	3xF_reprocessed		GSM1447341	mm9	wig->bigWig	ftp_geo_series_tar	descriptive_only	Sparser dynamic range and higher zero count across 13 enhancers	Retained for sensitivity/QC, excluded from primary factor scoring aggregation	10.5	0.20833333333333334
mm2080	5250	2653	4426.0	0.843048	1.6683	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		10.0	0.25
mm2176	5457	1916	3008.0	0.551219	1.56994	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		11.0	0.16666666666666666
mm1859	5188	2868	4728.0	0.911334	1.64854	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		8.0	0.4166666666666667
mm2164	5620	3340	4820.0	0.857651	1.44311	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		9.0	0.3333333333333333
mm1887	5267	160	160.0	0.0303778	1.0	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		12.0	0.08333333333333333
mm1179	1516	0	0.0	0.0	0.0	GSM1019784_hl1_pitx1_chip	mm9	GSM1019784_hl1_pitx1_chip.mm9.bigWigAverageOverBed.tsv	PITX1	GEO	GSE41591	GSM1019784	SRX195355	ChIP-seq	embryonic hindlimb bud	hindlimb	E11.5	wild_type	rep1	GSM1019785	mm9	wig->bigWig	ftp_geo_sample	score	Rep1 PITX1 ChIP; GEO supplementary WIG		13.0	0.0
